cost,monthly-cost,local-rate,std-rate,validity,details,comments
85,1275/14,0.25,0.25,30,"Local Cost Cutter - Cost: Rs51 | Validity: 21days | Local Call Rate: Rs0.25/minute
STD Cost Cutter - Cost: Rs34 | Validity: 56days | STD Call Rate: Rs0.25/minute","Local Cost Cutter - Local mob calls at 25p/min
STD Cost Cutter - STD mobile calls @ 25p/min"
65,615/7,0.25,0.3,30,"Local Cost Cutter - Cost: Rs51 | Validity: 21days | Local Call Rate: Rs0.25/minute
STD Cost Cutter - Cost: Rs14 | Validity: 28days | STD Call Rate: Rs0.3/minute","Local Cost Cutter - Local mob calls at 25p/min
STD Cost Cutter - STD mobile calls @ 30p/min"
124,1147/21,0.3,0.3,30,"Local Cost Cutter - Cost: Rs18 | Validity: 28days | Local Call Rate: Rs0.3/minute
STD Cost Cutter - Cost: Rs106 | Validity: 90days | STD Call Rate: Rs0.3/minute","Local Cost Cutter - Local mob calls at 1p/2sec
STD Cost Cutter - STD mobile calls @ 1p/2s"
79,1455/28,0.3,0.25,30,"Local Cost Cutter - Cost: Rs18 | Validity: 28days | Local Call Rate: Rs0.3/minute
STD Cost Cutter - Cost: Rs61 | Validity: 56days | STD Call Rate: Rs0.25/minute","Local Cost Cutter - Local mob calls at 1p/2sec
STD Cost Cutter - STD mobile calls @ 25p/min"
34,255/7,0.3,0.25,30,"Local Cost Cutter - Cost: Rs18 | Validity: 28days | Local Call Rate: Rs0.3/minute
STD Cost Cutter - Cost: Rs16 | Validity: 28days | STD Call Rate: Rs0.25/minute","Local Cost Cutter - Local mob calls at 1p/2sec
STD Cost Cutter - STD mobile calls @ 25p/ min"
52,75/2,0.3,0.25,30,"Local Cost Cutter - Cost: Rs18 | Validity: 28days | Local Call Rate: Rs0.3/minute
STD Cost Cutter - Cost: Rs34 | Validity: 56days | STD Call Rate: Rs0.25/minute","Local Cost Cutter - Local mob calls at 1p/2sec
STD Cost Cutter - STD mobile calls @ 25p/min"
32,240/7,0.3,0.3,30,"Local Cost Cutter - Cost: Rs18 | Validity: 28days | Local Call Rate: Rs0.3/minute
STD Cost Cutter - Cost: Rs14 | Validity: 28days | STD Call Rate: Rs0.3/minute","Local Cost Cutter - Local mob calls at 1p/2sec
STD Cost Cutter - STD mobile calls @ 30p/min"
170,2182/21,0.3,0.3,30,"Local Cost Cutter - Cost: Rs64 | Validity: 28days | Local Call Rate: Rs0.3/minute
STD Cost Cutter - Cost: Rs106 | Validity: 90days | STD Call Rate: Rs0.3/minute","Local Cost Cutter - Local mobile calls @ 1p/2s
STD Cost Cutter - STD mobile calls @ 1p/2s"
125,405/4,0.3,0.25,30,"Local Cost Cutter - Cost: Rs64 | Validity: 28days | Local Call Rate: Rs0.3/minute
STD Cost Cutter - Cost: Rs61 | Validity: 56days | STD Call Rate: Rs0.25/minute","Local Cost Cutter - Local mobile calls @ 1p/2s
STD Cost Cutter - STD mobile calls @ 25p/min"
80,600/7,0.3,0.25,30,"Local Cost Cutter - Cost: Rs64 | Validity: 28days | Local Call Rate: Rs0.3/minute
STD Cost Cutter - Cost: Rs16 | Validity: 28days | STD Call Rate: Rs0.25/minute","Local Cost Cutter - Local mobile calls @ 1p/2s
STD Cost Cutter - STD mobile calls @ 25p/ min"
98,1215/14,0.3,0.25,30,"Local Cost Cutter - Cost: Rs64 | Validity: 28days | Local Call Rate: Rs0.3/minute
STD Cost Cutter - Cost: Rs34 | Validity: 56days | STD Call Rate: Rs0.25/minute","Local Cost Cutter - Local mobile calls @ 1p/2s
STD Cost Cutter - STD mobile calls @ 25p/min"
78,585/7,0.3,0.3,30,"Local Cost Cutter - Cost: Rs64 | Validity: 28days | Local Call Rate: Rs0.3/minute
STD Cost Cutter - Cost: Rs14 | Validity: 28days | STD Call Rate: Rs0.3/minute","Local Cost Cutter - Local mobile calls @ 1p/2s
STD Cost Cutter - STD mobile calls @ 30p/min"
144,1882/21,0.35,0.3,30,"Local Cost Cutter - Cost: Rs38 | Validity: 21days | Local Call Rate: Rs0.35/minute
STD Cost Cutter - Cost: Rs106 | Validity: 90days | STD Call Rate: Rs0.3/minute","Local Cost Cutter - Local Mobile Calls @35p/min
STD Cost Cutter - STD mobile calls @ 1p/2s"
99,2435/28,0.35,0.25,30,"Local Cost Cutter - Cost: Rs38 | Validity: 21days | Local Call Rate: Rs0.35/minute
STD Cost Cutter - Cost: Rs61 | Validity: 56days | STD Call Rate: Rs0.25/minute","Local Cost Cutter - Local Mobile Calls @35p/min
STD Cost Cutter - STD mobile calls @ 25p/min"
54,500/7,0.35,0.25,30,"Local Cost Cutter - Cost: Rs38 | Validity: 21days | Local Call Rate: Rs0.35/minute
STD Cost Cutter - Cost: Rs16 | Validity: 28days | STD Call Rate: Rs0.25/minute","Local Cost Cutter - Local Mobile Calls @35p/min
STD Cost Cutter - STD mobile calls @ 25p/ min"
72,145/2,0.35,0.25,30,"Local Cost Cutter - Cost: Rs38 | Validity: 21days | Local Call Rate: Rs0.35/minute
STD Cost Cutter - Cost: Rs34 | Validity: 56days | STD Call Rate: Rs0.25/minute","Local Cost Cutter - Local Mobile Calls @35p/min
STD Cost Cutter - STD mobile calls @ 25p/min"
52,485/7,0.35,0.3,30,"Local Cost Cutter - Cost: Rs38 | Validity: 21days | Local Call Rate: Rs0.35/minute
STD Cost Cutter - Cost: Rs14 | Validity: 28days | STD Call Rate: Rs0.3/minute","Local Cost Cutter - Local Mobile Calls @35p/min
STD Cost Cutter - STD mobile calls @ 30p/min"
139,4453/84,0.3,0.3,30,"Local Cost Cutter - Cost: Rs33 | Validity: 56days | Local Call Rate: Rs0.3/minute
STD Cost Cutter - Cost: Rs106 | Validity: 90days | STD Call Rate: Rs0.3/minute","Local Cost Cutter - Local Mobile Calls @ 30p/min 
STD Cost Cutter - STD mobile calls @ 1p/2s"
94,705/14,0.3,0.25,30,"Local Cost Cutter - Cost: Rs33 | Validity: 56days | Local Call Rate: Rs0.3/minute
STD Cost Cutter - Cost: Rs61 | Validity: 56days | STD Call Rate: Rs0.25/minute","Local Cost Cutter - Local Mobile Calls @ 30p/min 
STD Cost Cutter - STD mobile calls @ 25p/min"
49,975/28,0.3,0.25,30,"Local Cost Cutter - Cost: Rs33 | Validity: 56days | Local Call Rate: Rs0.3/minute
STD Cost Cutter - Cost: Rs16 | Validity: 28days | STD Call Rate: Rs0.25/minute","Local Cost Cutter - Local Mobile Calls @ 30p/min 
STD Cost Cutter - STD mobile calls @ 25p/ min"
67,1005/28,0.3,0.25,30,"Local Cost Cutter - Cost: Rs33 | Validity: 56days | Local Call Rate: Rs0.3/minute
STD Cost Cutter - Cost: Rs34 | Validity: 56days | STD Call Rate: Rs0.25/minute","Local Cost Cutter - Local Mobile Calls @ 30p/min 
STD Cost Cutter - STD mobile calls @ 25p/min"
47,915/28,0.3,0.3,30,"Local Cost Cutter - Cost: Rs33 | Validity: 56days | Local Call Rate: Rs0.3/minute
STD Cost Cutter - Cost: Rs14 | Validity: 28days | STD Call Rate: Rs0.3/minute","Local Cost Cutter - Local Mobile Calls @ 30p/min 
STD Cost Cutter - STD mobile calls @ 30p/min"
